,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.8359,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",32550061
1,1,0,0.625,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",32889938
2,2,0,0.7038,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",34614569
3,3,0,0.9383,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",37049219
4,4,1,0.6846,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",37198281
5,5,1,0.648,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",37484883
6,6,0,0.8572,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",38914699
7,7,1,0.7634,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",38985177
8,8,0,0.9325,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",39495512
9,9,1,0.6043,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",40205741
10,10,0,0.6043,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",40562727
11,11,1,0.9517,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",40687823
12,12,0,0.8899,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",40754499
13,13,0,0.9802,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",41107002
14,14,1,0.6998,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",41306580
15,15,0,0.9737,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",41852880
16,16,0,0.96,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",42379873
17,17,1,0.8778,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",42604115
18,18,0,0.9669,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",42674182
19,19,0,0.9469,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",42723989
20,20,1,0.8206,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",42896746
21,21,0,0.7693,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",43239046
22,22,0,0.5672,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",43413740
23,23,1,0.943,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",43796121
24,24,0,0.9664,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",43851276
25,25,0,0.9319,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",43977636
26,26,0,0.7776,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",44030489
27,27,0,0.761,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",44352658
28,28,0,0.6223,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",44391707
29,29,0,0.7766,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",44403930
30,30,0,0.9597,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",44479036
31,31,1,0.6401,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",44509832
32,32,0,0.5062,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",44605984
33,33,1,0.984,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",44676712
34,34,0,0.6746,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",44815430
35,35,0,0.9779,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",44871885
36,36,1,0.5862,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45073087
37,37,1,0.8258,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45155052
38,38,1,0.6038,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45165211
39,39,1,0.5011,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45167412
40,40,0,0.9757,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",45229106
41,41,1,0.8913,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45254897
42,42,0,0.9312,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",45290643
43,43,1,0.7118,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45316127
44,44,0,0.6702,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",45461745
45,45,1,0.9679,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45533730
46,46,1,0.6893,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45724314
47,47,1,0.9812,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",45922127
48,48,0,0.9722,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46023367
49,49,1,0.7162,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",46024722
50,50,0,0.9595,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46069683
51,51,0,0.5237,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46078763
52,52,1,0.5712,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",46134134
53,53,0,0.9398,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46207754
54,54,0,0.955,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46216285
55,55,0,0.8323,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46247714
56,56,0,0.7942,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46257557
57,57,1,0.9415,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",46349512
58,58,0,0.9286,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46480742
59,59,0,0.7975,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46635701
60,60,0,0.8577,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46656426
61,61,0,0.8968,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46701878
62,62,0,0.9237,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46735567
63,63,1,0.6067,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",46829721
64,64,0,0.9555,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",46965564
65,65,1,0.775,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47027283
66,66,0,0.9683,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47052329
67,67,0,0.8356,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47066093
68,68,0,0.9695,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47104382
69,69,0,0.5224,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47109964
70,70,0,0.7005,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47156532
71,71,1,0.9591,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47282972
72,72,0,0.7145,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47287449
73,73,0,0.9372,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47352698
74,74,1,0.7327,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47405124
75,75,1,0.8366,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47443858
76,76,0,0.5022,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47552640
77,77,0,0.971,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47608258
78,78,0,0.582,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47620181
79,79,0,0.9019,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47641590
80,80,0,0.9817,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47683688
81,81,0,0.9775,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47703589
82,82,1,0.6224,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47752292
83,83,0,0.6451,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47767503
84,84,0,0.829,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47879016
85,85,1,0.8111,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47896009
86,86,1,0.9448,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47897516
87,87,1,0.8318,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47940127
88,88,0,0.9285,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47950455
89,89,0,0.8475,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47982840
90,90,1,0.8086,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",47984778
91,91,0,0.7598,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47992725
92,92,0,0.5735,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",47999808
93,93,1,0.972,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48005732
94,94,0,0.9926,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",48055232
95,95,1,0.8852,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48094333
96,96,0,0.9766,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",48145681
97,97,1,0.9728,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48166281
98,98,1,0.9696,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48181317
99,99,1,0.6966,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48229486
100,100,1,0.9674,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48245570
101,101,1,0.9798,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48265028
102,102,0,0.7861,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",48278025
103,103,0,0.9819,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",48303254
104,104,0,0.939,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",48309586
105,105,0,0.9555,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",48316010
106,106,1,0.6271,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48344020
107,107,1,0.7683,"__typenam, name, type, string, field, updat, load, compon, apolloprovid, react",48360019
108,108,0,0.7326,"cooki, await, credenti, cor, authent, pass, browser, oper, connect, backend",48386043
