,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.9809,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",32686133
1,1,3,0.9373,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",35419322
2,2,1,0.5138,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",36451910
3,3,1,0.5887,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",36590682
4,4,4,0.8352,"id, string, layout, link, children, type, react, prop, render, function",36804211
5,5,1,0.6263,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",37816952
6,6,2,0.949,"link, style, img, css, color, display, background, project, button, react",37933260
7,7,0,0.4491,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",38652908
8,8,1,0.5802,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",38794428
9,9,0,0.8355,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",38886982
10,10,4,0.7947,"id, string, layout, link, children, type, react, prop, render, function",39216496
11,11,3,0.9488,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",39936503
12,12,4,0.8982,"id, string, layout, link, children, type, react, prop, render, function",40011181
13,13,3,0.379,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",40109828
14,14,1,0.9877,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",40326065
15,15,1,0.6021,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",40596725
16,16,1,0.7603,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",40995948
17,17,3,0.6141,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",41081146
18,18,0,0.6591,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",41154541
19,19,4,0.579,"id, string, layout, link, children, type, react, prop, render, function",41354036
20,20,1,0.9184,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",41398613
21,21,3,0.9883,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",41798653
22,22,1,0.8871,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",41807848
23,23,3,0.8981,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",42058634
24,24,4,0.7042,"id, string, layout, link, children, type, react, prop, render, function",42134041
25,25,4,0.5102,"id, string, layout, link, children, type, react, prop, render, function",42423662
26,26,3,0.5582,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",42569360
27,27,1,0.7305,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",42610533
28,28,1,0.5835,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",42710378
29,29,4,0.9485,"id, string, layout, link, children, type, react, prop, render, function",43263013
30,30,3,0.8975,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",43416132
31,31,1,0.98,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",43995644
32,32,4,0.9795,"id, string, layout, link, children, type, react, prop, render, function",45133643
33,33,1,0.679,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",45176486
34,34,4,0.5616,"id, string, layout, link, children, type, react, prop, render, function",45178205
35,35,1,0.9796,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",45218281
36,36,3,0.6773,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",45233635
37,37,1,0.7509,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",45253671
38,38,1,0.9515,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",45360130
39,39,3,0.7359,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",45451682
40,40,1,0.9093,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",45489980
41,41,1,0.6296,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",45552697
42,42,2,0.8566,"link, style, img, css, color, display, background, project, button, react",45788157
43,43,3,0.9177,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",45822463
44,44,3,0.5333,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",45823527
45,45,1,0.9317,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",45823829
46,46,0,0.5629,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",45895597
47,47,3,0.6539,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",45964711
48,48,0,0.5021,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46059325
49,49,0,0.4468,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46193932
50,50,1,0.8058,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",46195671
51,51,0,0.9373,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46297286
52,52,1,0.5138,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",46365205
53,53,0,0.6033,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46370498
54,54,3,0.9518,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",46415313
55,55,1,0.7197,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",46519893
56,56,0,0.7489,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46561916
57,57,0,0.9315,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46618000
58,58,0,0.5141,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46661315
59,59,2,0.5187,"link, style, img, css, color, display, background, project, button, react",46680835
60,60,1,0.4113,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",46682195
61,61,0,0.9707,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46714282
62,62,2,0.8581,"link, style, img, css, color, display, background, project, button, react",46792286
63,63,2,0.9801,"link, style, img, css, color, display, background, project, button, react",46832874
64,64,3,0.8677,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",46835145
65,65,1,0.9453,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",46857072
66,66,3,0.9744,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",46874886
67,67,0,0.9851,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",46933246
68,68,3,0.5645,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",46980140
69,69,0,0.6885,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",47113575
70,70,0,0.4431,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",47115125
71,71,0,0.6931,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",47163572
72,72,2,0.7513,"link, style, img, css, color, display, background, project, button, react",47168897
73,73,3,0.5088,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",47313856
74,74,1,0.5339,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",47321098
75,75,1,0.9644,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",47373455
76,76,3,0.9518,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",47413588
77,77,1,0.7229,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",47488440
78,78,0,0.8464,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",47501395
79,79,3,0.5832,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",47527902
80,80,1,0.5052,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",47556177
81,81,1,0.5914,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",47607813
82,82,3,0.8405,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",47815489
83,83,0,0.6832,"slug, id, blog, frontmatt, field, markdown, tag, templat, edg, label",47912625
84,84,3,0.515,"plugin, load, img, project, style, plugin_resolv, src, react, resolv, gatsbyimag",47969236
85,85,2,0.6734,"link, style, img, css, color, display, background, project, button, react",48086653
86,86,1,0.7345,"type, field, build, tag, plugin, new, wordpress, string, script, resolv",48122722
