,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.7888,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",32734901
1,1,1,0.923,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",34474791
2,2,2,0.9209,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",35276234
3,3,0,0.8009,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",35565985
4,4,2,0.7798,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",36302536
5,5,3,0.9326,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",36583360
6,6,1,0.9823,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",36603559
7,7,2,0.5874,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",36666622
8,8,1,0.7737,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",36759503
9,9,0,0.5745,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",36914918
10,10,1,0.8623,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",37759699
11,11,0,0.9572,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",37892045
12,12,3,0.8676,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",37981269
13,13,2,0.595,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",38121215
14,14,2,0.638,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",38240599
15,15,2,0.935,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",39078141
16,16,0,0.6049,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",39310955
17,17,2,0.7349,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",39471075
18,18,1,0.941,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",39729708
19,19,3,0.5142,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",40128251
20,20,1,0.5102,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",40173841
21,21,2,0.7823,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",40184367
22,22,3,0.5418,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",40222012
23,23,2,0.5319,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",40238482
24,24,2,0.5936,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",40256331
25,25,3,0.5039,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",40360936
26,26,0,0.95,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",40509075
27,27,2,0.6069,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",40541391
28,28,2,0.3934,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",40783129
29,29,3,0.3832,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",40808347
30,30,3,0.9726,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",41051523
31,31,0,0.7936,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",41090200
32,32,0,0.8306,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",41266472
33,33,1,0.9821,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",41407620
34,34,1,0.7588,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",41440026
35,35,1,0.8685,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",41480833
36,36,3,0.9519,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",41486401
37,37,0,0.9734,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",41510880
38,38,1,0.9796,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",41589542
39,39,2,0.9607,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",41668456
40,40,3,0.6195,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",41677871
41,41,2,0.986,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",41708231
42,42,0,0.9628,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",41851366
43,43,2,0.9953,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",41907998
44,44,1,0.8281,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",42041371
45,45,0,0.6321,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",42080536
46,46,0,0.5332,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",42168530
47,47,1,0.9529,"privat, task, except, servic, java, depend_groupid, method, defin, version, configur",42174205
48,48,3,0.994,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",42180567
49,49,0,0.8645,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",42353161
50,50,2,0.6285,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",42400721
51,51,3,0.8639,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",42652622
52,52,2,0.9834,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",42748681
53,53,3,0.888,"entiti, column, nullabl, servic, project, await, tabl, nil, model, email",42829819
54,54,0,0.9899,"date, scalar, const, filter, json, datetim, method, defin, argument, serial",42854797
55,55,2,0.6137,"function, arg, const, interfac, array, extend, properti, generat, defin, argument",42904307
