,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.755,"new, endpoint, project, relay, cach, document, code, solut, return, store",31881937
1,1,0,0.5524,"new, endpoint, project, relay, cach, document, code, solut, return, store",32057785
2,2,0,0.9775,"new, endpoint, project, relay, cach, document, code, solut, return, store",32059198
3,3,0,0.9849,"new, endpoint, project, relay, cach, document, code, solut, return, store",32254923
4,4,0,0.5992,"new, endpoint, project, relay, cach, document, code, solut, return, store",32292389
5,5,1,0.8395,"string, field, name, return, schema, resolv, error, servic, databas, function",32507381
6,6,0,0.9091,"new, endpoint, project, relay, cach, document, code, solut, return, store",32517450
7,7,0,0.7546,"new, endpoint, project, relay, cach, document, code, solut, return, store",32570272
8,8,0,0.8874,"new, endpoint, project, relay, cach, document, code, solut, return, store",32588021
9,9,0,0.8226,"new, endpoint, project, relay, cach, document, code, solut, return, store",32708730
10,10,0,0.703,"new, endpoint, project, relay, cach, document, code, solut, return, store",32743156
11,11,0,0.887,"new, endpoint, project, relay, cach, document, code, solut, return, store",32748311
12,12,0,0.9638,"new, endpoint, project, relay, cach, document, code, solut, return, store",32752172
13,13,1,0.899,"string, field, name, return, schema, resolv, error, servic, databas, function",32782604
14,14,1,0.6104,"string, field, name, return, schema, resolv, error, servic, databas, function",33001632
15,15,0,0.9669,"new, endpoint, project, relay, cach, document, code, solut, return, store",33053617
16,16,0,0.945,"new, endpoint, project, relay, cach, document, code, solut, return, store",33060182
17,17,0,0.9637,"new, endpoint, project, relay, cach, document, code, solut, return, store",33134308
18,18,0,0.8582,"new, endpoint, project, relay, cach, document, code, solut, return, store",33143704
19,19,1,0.6221,"string, field, name, return, schema, resolv, error, servic, databas, function",33157168
20,20,0,0.9776,"new, endpoint, project, relay, cach, document, code, solut, return, store",33169020
21,21,0,0.9535,"new, endpoint, project, relay, cach, document, code, solut, return, store",33207048
22,22,0,0.5225,"new, endpoint, project, relay, cach, document, code, solut, return, store",33261751
23,23,0,0.5217,"new, endpoint, project, relay, cach, document, code, solut, return, store",33280824
24,24,1,0.8614,"string, field, name, return, schema, resolv, error, servic, databas, function",33324062
25,25,1,0.5932,"string, field, name, return, schema, resolv, error, servic, databas, function",33354818
26,26,0,0.7842,"new, endpoint, project, relay, cach, document, code, solut, return, store",33502676
27,27,1,0.9275,"string, field, name, return, schema, resolv, error, servic, databas, function",33512889
28,28,1,0.5466,"string, field, name, return, schema, resolv, error, servic, databas, function",33550843
29,29,0,0.849,"new, endpoint, project, relay, cach, document, code, solut, return, store",33616360
30,30,0,0.8973,"new, endpoint, project, relay, cach, document, code, solut, return, store",33617319
31,31,0,0.9821,"new, endpoint, project, relay, cach, document, code, solut, return, store",33756858
32,32,0,0.6437,"new, endpoint, project, relay, cach, document, code, solut, return, store",33762099
33,33,1,0.8078,"string, field, name, return, schema, resolv, error, servic, databas, function",33819658
34,34,1,0.9169,"string, field, name, return, schema, resolv, error, servic, databas, function",34011964
35,35,0,0.9324,"new, endpoint, project, relay, cach, document, code, solut, return, store",34103296
