,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,2,0.5631,"line, resolv, argument, graphen, code, self_info, end, self, django, none",32657596
1,1,0,0.5261,"relat, refer, relat_field, uniqu, map, float, prisma, filter, userid, product",33235109
2,2,1,0.6359,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",34585808
3,3,1,0.74,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",34743420
4,4,0,0.9557,"relat, refer, relat_field, uniqu, map, float, prisma, filter, userid, product",34952792
5,5,1,0.5793,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",35594802
6,6,1,0.9706,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",37688952
7,7,1,0.9625,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",38392504
8,8,2,0.9957,"line, resolv, argument, graphen, code, self_info, end, self, django, none",38495083
9,9,1,0.9506,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",38638823
10,10,1,0.9666,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",38771200
11,11,0,0.4683,"relat, refer, relat_field, uniqu, map, float, prisma, filter, userid, product",38794060
12,12,2,0.7546,"line, resolv, argument, graphen, code, self_info, end, self, django, none",38907092
13,13,2,0.5685,"line, resolv, argument, graphen, code, self_info, end, self, django, none",39381436
14,14,2,0.9635,"line, resolv, argument, graphen, code, self_info, end, self, django, none",39578852
15,15,1,0.9625,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",39598124
16,16,0,0.906,"relat, refer, relat_field, uniqu, map, float, prisma, filter, userid, product",39644286
17,17,2,0.9864,"line, resolv, argument, graphen, code, self_info, end, self, django, none",39752667
18,18,1,0.9821,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",39959782
19,19,1,0.5893,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",39980833
20,20,2,0.974,"line, resolv, argument, graphen, code, self_info, end, self, django, none",40381998
21,21,2,0.7831,"line, resolv, argument, graphen, code, self_info, end, self, django, none",40407967
22,22,2,0.9491,"line, resolv, argument, graphen, code, self_info, end, self, django, none",40427247
23,23,2,0.9206,"line, resolv, argument, graphen, code, self_info, end, self, django, none",40434746
24,24,2,0.8912,"line, resolv, argument, graphen, code, self_info, end, self, django, none",40483094
25,25,2,0.9702,"line, resolv, argument, graphen, code, self_info, end, self, django, none",40653773
26,26,2,0.6423,"line, resolv, argument, graphen, code, self_info, end, self, django, none",41214326
27,27,1,0.9534,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",41345377
28,28,2,0.6209,"line, resolv, argument, graphen, code, self_info, end, self, django, none",41349575
29,29,2,0.7515,"line, resolv, argument, graphen, code, self_info, end, self, django, none",41371233
30,30,1,0.4497,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",41572710
31,31,1,0.4634,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",41737657
32,32,2,0.9748,"line, resolv, argument, graphen, code, self_info, end, self, django, none",41837363
33,33,2,0.8516,"line, resolv, argument, graphen, code, self_info, end, self, django, none",41903770
34,34,2,0.9717,"line, resolv, argument, graphen, code, self_info, end, self, django, none",42121152
35,35,2,0.9763,"line, resolv, argument, graphen, code, self_info, end, self, django, none",42123723
36,36,1,0.9752,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",42133424
37,37,2,0.9874,"line, resolv, argument, graphen, code, self_info, end, self, django, none",42142046
38,38,1,0.5076,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",42541238
39,39,2,0.924,"line, resolv, argument, graphen, code, self_info, end, self, django, none",42547846
40,40,1,0.6529,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",42582362
41,41,0,0.4173,"relat, refer, relat_field, uniqu, map, float, prisma, filter, userid, product",42655080
42,42,1,0.8889,"tabl, const, relat, refer, prisma, new, compani, column, parent, relationship",42661385
43,43,0,0.8762,"relat, refer, relat_field, uniqu, map, float, prisma, filter, userid, product",42670733
44,44,2,0.9679,"line, resolv, argument, graphen, code, self_info, end, self, django, none",42963703
