,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,4,0.5712,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32178553
1,1,4,0.9849,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32497759
2,2,4,0.9522,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32535141
3,3,4,0.9372,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32538570
4,4,4,0.6069,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32558861
5,5,3,0.4938,"json, function, fragment, test, pass, expect, argument, mock, format, pars",32572896
6,6,1,0.8495,"fragment, enum, includ, direct, document, argument, kind_name, oper, status, kind",32597625
7,7,0,0.5823,"edg, cursor, pagin, connect, key, limit, search, totalcount, repositori, filter",32613879
8,8,4,0.9888,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32615683
9,9,3,0.5396,"json, function, fragment, test, pass, expect, argument, mock, format, pars",32618424
10,10,1,0.5966,"fragment, enum, includ, direct, document, argument, kind_name, oper, status, kind",32662437
11,11,4,0.9726,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32668568
12,12,4,0.9833,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32756125
13,13,4,0.6564,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",32760418
14,14,0,0.5569,"edg, cursor, pagin, connect, key, limit, search, totalcount, repositori, filter",32776189
15,15,4,0.7285,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33076457
16,16,4,0.7931,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33088119
17,17,4,0.5856,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33095479
18,18,0,0.9658,"edg, cursor, pagin, connect, key, limit, search, totalcount, repositori, filter",33323894
19,19,4,0.6788,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33415517
20,20,4,0.985,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33444870
21,21,4,0.9698,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33452090
22,22,1,0.6378,"fragment, enum, includ, direct, document, argument, kind_name, oper, status, kind",33509643
23,23,1,0.615,"fragment, enum, includ, direct, document, argument, kind_name, oper, status, kind",33556240
24,24,4,0.6741,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33631322
25,25,4,0.8984,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33638409
26,26,4,0.7138,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33769922
27,27,4,0.9607,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33835763
28,28,4,0.8188,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33877207
29,29,4,0.6421,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",33959991
30,30,4,0.9518,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34140567
31,31,4,0.9628,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34162198
32,32,0,0.9611,"edg, cursor, pagin, connect, key, limit, search, totalcount, repositori, filter",34192507
33,33,4,0.9759,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34255662
34,34,4,0.9546,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34321174
35,35,4,0.9829,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34346098
36,36,4,0.7221,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34406667
37,37,4,0.9868,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34411292
38,38,0,0.7303,"edg, cursor, pagin, connect, key, limit, search, totalcount, repositori, filter",34469725
39,39,4,0.9724,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34481732
40,40,2,0.622,"upload, await, imag, function, resolv, new, filenam, stream, bodi, encod",34492614
41,41,4,0.9823,"relay, fragment, viewer, new, compon, class, edg, fetch, updat, content",34522077
