,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.9122,"deploy, test, cor, function, express, fetch, start, db, local, schema",32349022
1,1,2,0.5664,"id, string, type, name, await, schema, migrat, generat, db, function",32494136
2,2,2,0.5087,"id, string, type, name, await, schema, migrat, generat, db, function",33478309
3,3,3,0.5473,"port, hasura, postgr, local, host, docker, log, info, schema, name",35080671
4,4,1,0.8833,"deploy, test, cor, function, express, fetch, start, db, local, schema",35095334
5,5,3,0.99,"port, hasura, postgr, local, host, docker, log, info, schema, name",35863107
6,6,2,0.4378,"id, string, type, name, await, schema, migrat, generat, db, function",35940528
7,7,1,0.8608,"deploy, test, cor, function, express, fetch, start, db, local, schema",36781512
8,8,2,0.6915,"id, string, type, name, await, schema, migrat, generat, db, function",37237673
9,9,3,0.5771,"port, hasura, postgr, local, host, docker, log, info, schema, name",37906261
10,10,1,0.5624,"deploy, test, cor, function, express, fetch, start, db, local, schema",38049885
11,11,3,0.5958,"port, hasura, postgr, local, host, docker, log, info, schema, name",38266673
12,12,2,0.9742,"id, string, type, name, await, schema, migrat, generat, db, function",38523533
13,13,3,0.5567,"port, hasura, postgr, local, host, docker, log, info, schema, name",38724165
14,14,1,0.9791,"deploy, test, cor, function, express, fetch, start, db, local, schema",39279578
15,15,2,0.6343,"id, string, type, name, await, schema, migrat, generat, db, function",39358849
16,16,1,0.9205,"deploy, test, cor, function, express, fetch, start, db, local, schema",39578377
17,17,1,0.6483,"deploy, test, cor, function, express, fetch, start, db, local, schema",40471156
18,18,3,0.4156,"port, hasura, postgr, local, host, docker, log, info, schema, name",40843037
19,19,1,0.6687,"deploy, test, cor, function, express, fetch, start, db, local, schema",40941610
20,20,1,0.9398,"deploy, test, cor, function, express, fetch, start, db, local, schema",41349742
21,21,1,0.964,"deploy, test, cor, function, express, fetch, start, db, local, schema",41490578
22,22,1,0.9799,"deploy, test, cor, function, express, fetch, start, db, local, schema",41546281
23,23,3,0.7517,"port, hasura, postgr, local, host, docker, log, info, schema, name",42014620
24,24,1,0.6612,"deploy, test, cor, function, express, fetch, start, db, local, schema",42133734
25,25,1,0.5545,"deploy, test, cor, function, express, fetch, start, db, local, schema",42256553
26,26,1,0.9466,"deploy, test, cor, function, express, fetch, start, db, local, schema",42509469
27,27,1,0.9024,"deploy, test, cor, function, express, fetch, start, db, local, schema",42549096
28,28,3,0.9444,"port, hasura, postgr, local, host, docker, log, info, schema, name",42885957
29,29,1,0.7848,"deploy, test, cor, function, express, fetch, start, db, local, schema",42920644
30,30,2,0.4953,"id, string, type, name, await, schema, migrat, generat, db, function",42936147
31,31,1,0.8436,"deploy, test, cor, function, express, fetch, start, db, local, schema",43123969
32,32,1,0.4304,"deploy, test, cor, function, express, fetch, start, db, local, schema",43572904
33,33,1,0.8404,"deploy, test, cor, function, express, fetch, start, db, local, schema",43865453
34,34,1,0.6688,"deploy, test, cor, function, express, fetch, start, db, local, schema",43958311
35,35,1,0.9682,"deploy, test, cor, function, express, fetch, start, db, local, schema",44071900
36,36,1,0.955,"deploy, test, cor, function, express, fetch, start, db, local, schema",44125034
37,37,1,0.7422,"deploy, test, cor, function, express, fetch, start, db, local, schema",44185188
38,38,1,0.8649,"deploy, test, cor, function, express, fetch, start, db, local, schema",44697946
39,39,1,0.5894,"deploy, test, cor, function, express, fetch, start, db, local, schema",44903537
40,40,2,0.9608,"id, string, type, name, await, schema, migrat, generat, db, function",45172215
41,41,1,0.9903,"deploy, test, cor, function, express, fetch, start, db, local, schema",45289027
42,42,1,0.5242,"deploy, test, cor, function, express, fetch, start, db, local, schema",45416176
43,43,0,0.735,"port, name, environ, build, docker, imag, generat, version, postgr, network",45500157
44,44,1,0.8695,"deploy, test, cor, function, express, fetch, start, db, local, schema",45582657
45,45,1,0.8126,"deploy, test, cor, function, express, fetch, start, db, local, schema",45694291
46,46,2,0.9323,"id, string, type, name, await, schema, migrat, generat, db, function",45756493
47,47,1,0.6249,"deploy, test, cor, function, express, fetch, start, db, local, schema",45844824
48,48,1,0.9759,"deploy, test, cor, function, express, fetch, start, db, local, schema",45904060
49,49,1,0.549,"deploy, test, cor, function, express, fetch, start, db, local, schema",46060752
50,50,2,0.9795,"id, string, type, name, await, schema, migrat, generat, db, function",46283880
51,51,2,0.5787,"id, string, type, name, await, schema, migrat, generat, db, function",46452868
52,52,2,0.8332,"id, string, type, name, await, schema, migrat, generat, db, function",46517852
53,53,0,0.7889,"port, name, environ, build, docker, imag, generat, version, postgr, network",46719337
54,54,1,0.6887,"deploy, test, cor, function, express, fetch, start, db, local, schema",46721015
55,55,1,0.6219,"deploy, test, cor, function, express, fetch, start, db, local, schema",46981941
56,56,1,0.6952,"deploy, test, cor, function, express, fetch, start, db, local, schema",47088722
57,57,1,0.9277,"deploy, test, cor, function, express, fetch, start, db, local, schema",47307608
58,58,3,0.8715,"port, hasura, postgr, local, host, docker, log, info, schema, name",47380173
59,59,2,0.5681,"id, string, type, name, await, schema, migrat, generat, db, function",47403264
60,60,1,0.7864,"deploy, test, cor, function, express, fetch, start, db, local, schema",47593315
61,61,3,0.9857,"port, hasura, postgr, local, host, docker, log, info, schema, name",47770895
62,62,1,0.7892,"deploy, test, cor, function, express, fetch, start, db, local, schema",47811248
63,63,3,0.9561,"port, hasura, postgr, local, host, docker, log, info, schema, name",47982739
64,64,1,0.7579,"deploy, test, cor, function, express, fetch, start, db, local, schema",48069993
65,65,3,0.8008,"port, hasura, postgr, local, host, docker, log, info, schema, name",48092360
66,66,1,0.9801,"deploy, test, cor, function, express, fetch, start, db, local, schema",48154509
67,67,1,0.9342,"deploy, test, cor, function, express, fetch, start, db, local, schema",48160113
68,68,3,0.7654,"port, hasura, postgr, local, host, docker, log, info, schema, name",48165507
69,69,2,0.9477,"id, string, type, name, await, schema, migrat, generat, db, function",48207402
70,70,1,0.504,"deploy, test, cor, function, express, fetch, start, db, local, schema",48276520
71,71,2,0.9224,"id, string, type, name, await, schema, migrat, generat, db, function",48303193
72,72,1,0.6749,"deploy, test, cor, function, express, fetch, start, db, local, schema",48442974
73,73,1,0.7049,"deploy, test, cor, function, express, fetch, start, db, local, schema",48463807
74,74,1,0.5736,"deploy, test, cor, function, express, fetch, start, db, local, schema",48493378
75,75,1,0.934,"deploy, test, cor, function, express, fetch, start, db, local, schema",48508443
76,76,3,0.9764,"port, hasura, postgr, local, host, docker, log, info, schema, name",48676834
77,77,1,0.8619,"deploy, test, cor, function, express, fetch, start, db, local, schema",48697389
78,78,3,0.641,"port, hasura, postgr, local, host, docker, log, info, schema, name",48751074
79,79,3,0.7447,"port, hasura, postgr, local, host, docker, log, info, schema, name",48752277
80,80,1,0.9752,"deploy, test, cor, function, express, fetch, start, db, local, schema",48818582
81,81,1,0.7744,"deploy, test, cor, function, express, fetch, start, db, local, schema",48938767
