,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,3,0.8838,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",32059940
1,1,0,0.8015,"order, filter, sort, key, select, limit, properti, search, pagin, new",36230381
2,2,0,0.3874,"order, filter, sort, key, select, limit, properti, search, pagin, new",36902814
3,3,2,0.5934,"filter, index, state, key, resolv, review, updat, schema, pass, end",37337088
4,4,0,0.9489,"order, filter, sort, key, select, limit, properti, search, pagin, new",37995394
5,5,2,0.4886,"filter, index, state, key, resolv, review, updat, schema, pass, end",38094047
6,6,3,0.9877,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",38327428
7,7,2,0.6326,"filter, index, state, key, resolv, review, updat, schema, pass, end",38339060
8,8,0,0.978,"order, filter, sort, key, select, limit, properti, search, pagin, new",38683594
9,9,3,0.927,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",39064631
10,10,1,0.475,"productid, imag, edg, fetch, variant, await, updat, cart, quantiti, charact",39679727
11,11,3,0.5785,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",40032213
12,12,3,0.9519,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",40045975
13,13,3,0.6814,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",40240588
14,14,1,0.8989,"productid, imag, edg, fetch, variant, await, updat, cart, quantiti, charact",40427609
15,15,1,0.6562,"productid, imag, edg, fetch, variant, await, updat, cart, quantiti, charact",40615944
16,16,2,0.8084,"filter, index, state, key, resolv, review, updat, schema, pass, end",40898691
17,17,2,0.7008,"filter, index, state, key, resolv, review, updat, schema, pass, end",41515226
18,18,3,0.6357,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",41632152
19,19,3,0.9511,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",41639374
20,20,4,0.8884,"categori, slug, await, edg, link, tag, prop, commit, count, param",41670371
21,21,3,0.9662,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",41712608
22,22,0,0.684,"order, filter, sort, key, select, limit, properti, search, pagin, new",41862789
23,23,0,0.9487,"order, filter, sort, key, select, limit, properti, search, pagin, new",41993034
24,24,0,0.82,"order, filter, sort, key, select, limit, properti, search, pagin, new",42056740
25,25,3,0.9092,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",42239473
26,26,4,0.6789,"categori, slug, await, edg, link, tag, prop, commit, count, param",42406936
27,27,3,0.983,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",42495598
28,28,4,0.5335,"categori, slug, await, edg, link, tag, prop, commit, count, param",43087914
29,29,2,0.5844,"filter, index, state, key, resolv, review, updat, schema, pass, end",43192304
30,30,1,0.9632,"productid, imag, edg, fetch, variant, await, updat, cart, quantiti, charact",43986263
31,31,3,0.8808,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",44015309
32,32,3,0.9368,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",44075567
33,33,2,0.7094,"filter, index, state, key, resolv, review, updat, schema, pass, end",44079618
34,34,3,0.9257,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",44159753
35,35,3,0.9414,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",44377518
36,36,2,0.9313,"filter, index, state, key, resolv, review, updat, schema, pass, end",44435510
37,37,3,0.407,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",44642934
38,38,4,0.8738,"categori, slug, await, edg, link, tag, prop, commit, count, param",44723678
39,39,4,0.9374,"categori, slug, await, edg, link, tag, prop, commit, count, param",44919773
40,40,3,0.6972,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",44969490
41,41,1,0.4653,"productid, imag, edg, fetch, variant, await, updat, cart, quantiti, charact",44984800
42,42,0,0.4022,"order, filter, sort, key, select, limit, properti, search, pagin, new",45100167
43,43,4,0.7129,"categori, slug, await, edg, link, tag, prop, commit, count, param",45133341
44,44,4,0.7398,"categori, slug, await, edg, link, tag, prop, commit, count, param",45397333
45,45,2,0.7654,"filter, index, state, key, resolv, review, updat, schema, pass, end",45518465
46,46,3,0.9753,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",45700550
47,47,3,0.9373,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",45735377
48,48,1,0.5955,"productid, imag, edg, fetch, variant, await, updat, cart, quantiti, charact",45852831
49,49,0,0.9451,"order, filter, sort, key, select, limit, properti, search, pagin, new",45910230
50,50,2,0.8973,"filter, index, state, key, resolv, review, updat, schema, pass, end",46132743
51,51,3,0.9925,"test, expect, mock, compon, pass, undefin, await, resolv, render, new",46205173
52,52,4,0.9544,"categori, slug, await, edg, link, tag, prop, commit, count, param",46227669
53,53,4,0.7136,"categori, slug, await, edg, link, tag, prop, commit, count, param",46486265
