,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.9806,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",32442814
1,1,3,0.5664,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",32539189
2,2,3,0.5673,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",32777416
3,3,3,0.9011,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",33678984
4,4,2,0.9531,"cach, event, link, observ, oper, store, header, compon, handl, token",33773263
5,5,0,0.5857,"aw, key, amplifi, lambda, dynamodb, aw_appsync, authent, region, auth, lambda_function",33902166
6,6,2,0.8704,"cach, event, link, observ, oper, store, header, compon, handl, token",33904406
7,7,3,0.6528,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",34631787
8,8,0,0.9285,"aw, key, amplifi, lambda, dynamodb, aw_appsync, authent, region, auth, lambda_function",35133734
9,9,2,0.9882,"cach, event, link, observ, oper, store, header, compon, handl, token",39021969
10,10,3,0.979,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",39237954
11,11,2,0.6973,"cach, event, link, observ, oper, store, header, compon, handl, token",39480846
12,12,1,0.9471,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",39568605
13,13,3,0.7777,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",39841256
14,14,2,0.9875,"cach, event, link, observ, oper, store, header, compon, handl, token",39914161
15,15,2,0.6238,"cach, event, link, observ, oper, store, header, compon, handl, token",40074777
16,16,1,0.9827,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",40166659
17,17,3,0.6782,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",40197389
18,18,1,0.7975,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",40206314
19,19,2,0.6337,"cach, event, link, observ, oper, store, header, compon, handl, token",40206479
20,20,1,0.9594,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",40252799
21,21,3,0.5787,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",40295099
22,22,2,0.8992,"cach, event, link, observ, oper, store, header, compon, handl, token",40327824
23,23,1,0.8437,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",40328992
24,24,1,0.5532,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",40484900
25,25,3,0.8947,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",40636604
26,26,1,0.8417,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",40766475
27,27,2,0.9608,"cach, event, link, observ, oper, store, header, compon, handl, token",40837676
28,28,2,0.5228,"cach, event, link, observ, oper, store, header, compon, handl, token",41133746
29,29,2,0.5521,"cach, event, link, observ, oper, store, header, compon, handl, token",41142471
30,30,1,0.9658,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",41349966
31,31,3,0.8665,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",41612819
32,32,2,0.4989,"cach, event, link, observ, oper, store, header, compon, handl, token",41643406
33,33,2,0.7699,"cach, event, link, observ, oper, store, header, compon, handl, token",41644393
34,34,3,0.6329,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",41655948
35,35,2,0.8294,"cach, event, link, observ, oper, store, header, compon, handl, token",41665695
36,36,3,0.9576,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",41720509
37,37,2,0.7499,"cach, event, link, observ, oper, store, header, compon, handl, token",41944291
38,38,3,0.9528,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",42073780
39,39,3,0.9665,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",42081516
40,40,1,0.5483,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42101963
41,41,2,0.7446,"cach, event, link, observ, oper, store, header, compon, handl, token",42120370
42,42,1,0.9496,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42121304
43,43,2,0.842,"cach, event, link, observ, oper, store, header, compon, handl, token",42129604
44,44,1,0.93,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42457480
45,45,3,0.6264,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",42477022
46,46,1,0.6472,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42492943
47,47,2,0.7393,"cach, event, link, observ, oper, store, header, compon, handl, token",42520663
48,48,1,0.9443,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42544432
49,49,1,0.8384,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42625812
50,50,1,0.9584,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42650469
51,51,3,0.9803,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",42651007
52,52,3,0.5792,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",42848194
53,53,3,0.9196,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",42853466
54,54,1,0.6165,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42869906
55,55,3,0.4645,"resolv, websocket, subscrib, pubsub, field, event, await, payload, notif, listen",42880146
56,56,1,0.5505,"field, model, owner, event, createdat, userid, filter, comment, tabl, content",42914581
57,57,2,0.911,"cach, event, link, observ, oper, store, header, compon, handl, token",42937502
58,58,2,0.9772,"cach, event, link, observ, oper, store, header, compon, handl, token",43103461
