,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,2,0.6497,"usequeri, updat, refetch, cach, fetch, search, pass, button, hook, new",32491090
1,1,0,0.857,"type, string, card, map, test, button, new, repositori, element, usest",32491117
2,2,4,0.5661,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",32577496
3,3,4,0.645,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",32708927
4,4,1,0.5143,"form, usest, button, hook, field, label, useeffect, submit, usemut, string",32860822
5,5,4,0.6003,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",33170512
6,6,4,0.9524,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",33327860
7,7,4,0.8455,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",33430529
8,8,3,0.5517,"link, gatsbi, navig, element, menu, children, useeffect, script, header, style",33480374
9,9,4,0.9609,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",33976526
10,10,4,0.9728,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",34098791
11,11,2,0.5462,"usequeri, updat, refetch, cach, fetch, search, pass, button, hook, new",34110463
12,12,3,0.4866,"link, gatsbi, navig, element, menu, children, useeffect, script, header, style",34192587
13,13,2,0.6575,"usequeri, updat, refetch, cach, fetch, search, pass, button, hook, new",34315742
14,14,2,0.4415,"usequeri, updat, refetch, cach, fetch, search, pass, button, hook, new",34346273
15,15,2,0.9547,"usequeri, updat, refetch, cach, fetch, search, pass, button, hook, new",34797581
16,16,3,0.3789,"link, gatsbi, navig, element, menu, children, useeffect, script, header, style",34882707
17,17,4,0.626,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",34925738
18,18,4,0.5869,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",35211428
19,19,2,0.9822,"usequeri, updat, refetch, cach, fetch, search, pass, button, hook, new",35312277
20,20,4,0.9849,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",35401284
21,21,3,0.5738,"link, gatsbi, navig, element, menu, children, useeffect, script, header, style",35471836
22,22,4,0.5595,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",35618759
23,23,3,0.9413,"link, gatsbi, navig, element, menu, children, useeffect, script, header, style",35677037
24,24,4,0.6491,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",35849499
25,25,0,0.398,"type, string, card, map, test, button, new, repositori, element, usest",36162658
26,26,2,0.6558,"usequeri, updat, refetch, cach, fetch, search, pass, button, hook, new",36294134
27,27,4,0.4947,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",36320095
28,28,0,0.6998,"type, string, card, map, test, button, new, repositori, element, usest",36679253
29,29,4,0.9637,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",36687203
30,30,4,0.6921,"class, pass, rout, fragment, relay, new, extend_compon, fetch, event, componentdidmount",36807871
31,31,0,0.7097,"type, string, card, map, test, button, new, repositori, element, usest",37017372
