,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,2,0.9633,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",32160825
1,1,2,0.9743,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",32166851
2,2,0,0.9415,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",32226857
3,3,0,0.8763,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",32304486
4,4,2,0.6645,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",32337701
5,5,0,0.9249,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",32346531
6,6,0,0.6454,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",32480102
7,7,2,0.707,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",32551022
8,8,0,0.9697,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",32737392
9,9,0,0.7553,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",32777796
10,10,0,0.5168,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",33210406
11,11,0,0.6022,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",33399901
12,12,2,0.5856,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",33460053
13,13,2,0.9808,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",33479830
14,14,2,0.5661,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",33831911
15,15,2,0.6358,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",33994007
16,16,2,0.9474,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",34005370
17,17,2,0.7077,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",34075018
18,18,2,0.4705,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",34155439
19,19,2,0.6853,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",34192065
20,20,2,0.503,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",35070523
21,21,0,0.5379,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",35194917
22,22,2,0.51,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",35479704
23,23,2,0.9766,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",35632915
24,24,0,0.5541,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",35922257
25,25,1,0.6252,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",35971738
26,26,2,0.5272,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",35993661
27,27,2,0.7438,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",36010618
28,28,0,0.6146,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",36304369
29,29,2,0.8467,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",36697234
30,30,0,0.4908,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",36743905
31,31,2,0.5163,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",36814486
32,32,2,0.9824,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",36935493
33,33,1,0.6185,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",37011111
34,34,2,0.8424,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37106285
35,35,2,0.824,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37336839
36,36,0,0.5459,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",37356362
37,37,2,0.9282,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37515564
38,38,2,0.7846,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37550035
39,39,2,0.5841,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37583686
40,40,2,0.7959,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37594134
41,41,1,0.4937,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",37604136
42,42,2,0.6492,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37606819
43,43,2,0.7528,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37751640
44,44,0,0.9682,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",37753953
45,45,2,0.8549,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37796902
46,46,0,0.6077,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",37800555
47,47,2,0.8406,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37805245
48,48,2,0.9764,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37814916
49,49,2,0.9648,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37863280
50,50,2,0.9359,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37914632
51,51,2,0.9684,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37981434
52,52,2,0.5849,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",37985413
53,53,1,0.7521,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",38002263
54,54,0,0.489,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",38160489
55,55,1,0.6207,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",38165609
56,56,2,0.7632,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38172982
57,57,0,0.6546,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",38233635
58,58,2,0.9622,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38276015
59,59,2,0.9606,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38297058
60,60,2,0.7209,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38444743
61,61,1,0.5757,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",38469108
62,62,2,0.6519,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38540767
63,63,0,0.4908,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",38593192
64,64,2,0.9589,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38666767
65,65,2,0.8807,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38688907
66,66,2,0.586,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38770986
67,67,1,0.951,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",38827075
68,68,0,0.5052,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",38827790
69,69,0,0.7281,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",38834567
70,70,2,0.9681,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38862065
71,71,0,0.5227,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",38907123
72,72,2,0.9838,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",38930296
73,73,0,0.5762,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",38993058
74,74,2,0.7118,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39008724
75,75,0,0.831,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",39074675
76,76,2,0.5783,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39114417
77,77,0,0.6606,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",39152749
78,78,0,0.5114,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",39166305
79,79,2,0.6984,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39222824
80,80,0,0.817,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",39247228
81,81,0,0.7607,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",39249793
82,82,2,0.9394,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39256942
83,83,0,0.9254,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",39285649
84,84,2,0.9568,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39299174
85,85,1,0.9512,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",39302223
86,86,2,0.724,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39304543
87,87,0,0.7099,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",39309878
88,88,2,0.6368,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39401739
89,89,1,0.5121,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",39412263
90,90,2,0.9547,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39496372
91,91,2,0.9324,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39579416
92,92,2,0.9437,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39609979
93,93,2,0.598,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39636435
94,94,2,0.5056,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39696754
95,95,1,0.6467,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",39697575
96,96,2,0.9593,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",39732223
97,97,1,0.9334,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",39765513
98,98,1,0.9695,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",39833400
99,99,1,0.5379,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",39922977
100,100,0,0.8896,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",40004402
101,101,0,0.8896,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",40010093
102,102,2,0.6984,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40075783
103,103,1,0.9584,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",40124494
104,104,1,0.9366,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",40136390
105,105,1,0.7242,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",40182611
106,106,2,0.8259,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40222469
107,107,2,0.946,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40275008
108,108,1,0.7914,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",40286310
109,109,2,0.4579,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40347983
110,110,2,0.8744,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40381957
111,111,2,0.971,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40390025
112,112,1,0.9345,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",40449367
113,113,1,0.6859,"modul, port, typedef, start, apolloserv, buildschema, hello, graphiql, messag, class",40451636
114,114,2,0.5746,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40475524
115,115,2,0.7901,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40626869
116,116,0,0.9209,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",40655390
117,117,2,0.9369,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40695392
118,118,2,0.8471,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40804189
119,119,2,0.9661,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40856226
120,120,2,0.9647,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40901845
121,121,2,0.8655,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",40943145
122,122,0,0.6241,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",40945940
123,123,2,0.6307,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",41025419
124,124,0,0.9545,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",41093459
125,125,0,0.9504,"_id, mongoos, event, date, model, usernam, email, ref, mongodb, db",41163081
126,126,2,0.499,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",41175180
127,127,2,0.9845,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",41179236
128,128,2,0.9897,"graphqlint, graphqlid, new_graphqlnonnul, usertyp, new_graphqllist, resolv_parent, graphqlobjecttyp, graphqllist, root, rootqueri",41186597
