,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,2,0.6514,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",32171792
1,1,2,0.9507,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",32493836
2,2,0,0.5626,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",33930519
3,3,3,0.5492,"form, load, state, signup, regist, react, button, updat, usemut, usest",34053662
4,4,2,0.7588,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",34199982
5,5,0,0.9471,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",34321205
6,6,3,0.7382,"form, load, state, signup, regist, react, button, updat, usemut, usest",35662911
7,7,2,0.9506,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",36498486
8,8,2,0.4219,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",36691554
9,9,2,0.7129,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",37331238
10,10,3,0.4948,"form, load, state, signup, regist, react, button, updat, usemut, usest",37535374
11,11,2,0.9271,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",37709250
12,12,2,0.8521,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",38210066
13,13,0,0.9628,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",38618385
14,14,2,0.6117,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",39133634
15,15,1,0.5615,"userid, schema, resolv, model, throw_new, uniqu, prisma, arg, val, _id",39201542
16,16,2,0.9202,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",39550733
17,17,1,0.5106,"userid, schema, resolv, model, throw_new, uniqu, prisma, arg, val, _id",39686725
18,18,2,0.6074,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",40269572
19,19,0,0.7864,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",40330975
20,20,2,0.9624,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",40421132
21,21,0,0.9348,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",40502427
22,22,2,0.8046,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",40511056
23,23,0,0.8421,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",40621463
24,24,0,0.6341,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",40643719
25,25,0,0.8508,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",40657250
26,26,3,0.7063,"form, load, state, signup, regist, react, button, updat, usemut, usest",41094447
27,27,0,0.5858,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",41110822
28,28,1,0.5211,"userid, schema, resolv, model, throw_new, uniqu, prisma, arg, val, _id",41238992
29,29,1,0.9463,"userid, schema, resolv, model, throw_new, uniqu, prisma, arg, val, _id",41354765
30,30,0,0.9646,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",41371898
31,31,0,0.9568,"authent, header, log, compon, accesstoken, class, jwt, auth, react, rout",41525345
32,32,3,0.8281,"form, load, state, signup, regist, react, button, updat, usemut, usest",41917037
33,33,3,0.8375,"form, load, state, signup, regist, react, button, updat, usemut, usest",41921137
34,34,2,0.4494,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",42024158
35,35,2,0.9669,"firstnam, bodi, lastnam, resolv, schema, createus, test, createdat, pass, account",42145536
