,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,1,0.7549,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",33564474
1,1,0,0.6963,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",34429880
2,2,0,0.6521,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",34838145
3,3,0,0.6723,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",35070316
4,4,1,0.6329,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",35225193
5,5,1,0.6893,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",35443526
6,6,0,0.5799,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",35703037
7,7,1,0.9509,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",36441286
8,8,0,0.9045,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",36852619
9,9,1,0.9819,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",37059523
10,10,1,0.9224,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",37106589
11,11,0,0.8526,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",37336869
12,12,1,0.9775,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",37510286
13,13,1,0.9594,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",37917240
14,14,0,0.9305,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",38753200
15,15,1,0.5952,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",39310987
16,16,1,0.9487,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",39313219
17,17,0,0.8868,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",39547319
18,18,1,0.9653,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",39563333
19,19,1,0.5931,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",39615692
20,20,0,0.985,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",39690413
21,21,0,0.9753,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",39691111
22,22,0,0.806,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",39783947
23,23,1,0.6303,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",39787393
24,24,1,0.8647,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",39882163
25,25,0,0.9734,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",39971331
26,26,1,0.9446,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",40207461
27,27,1,0.9801,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",40568328
28,28,1,0.9069,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",40644296
29,29,0,0.5628,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",40762599
30,30,1,0.8596,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",40964300
31,31,0,0.7394,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",41206123
32,32,1,0.6721,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",41325218
33,33,1,0.9053,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",41434241
34,34,0,0.5691,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",41544186
35,35,0,0.9709,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",41560906
36,36,0,0.8934,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",41597148
37,37,1,0.6184,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42009308
38,38,1,0.6967,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42088126
39,39,1,0.8737,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42097441
40,40,1,0.6367,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42146752
41,41,1,0.9582,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42227079
42,42,1,0.6057,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42382282
43,43,1,0.5332,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42493812
44,44,1,0.5064,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42495603
45,45,0,0.7062,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",42498900
46,46,0,0.6304,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",42517009
47,47,0,0.5161,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",42625199
48,48,1,0.6505,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42888193
49,49,0,0.7865,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",42888441
50,50,0,0.7485,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",42930307
51,51,1,0.6839,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42933661
52,52,1,0.6579,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42940003
53,53,0,0.8328,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",42941606
54,54,1,0.8632,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",42949873
55,55,1,0.9214,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",43045639
56,56,1,0.9606,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",43089989
57,57,0,0.8844,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",43151004
58,58,1,0.8311,"model, tabl, role, select, direct, permiss, parent, properti, updat, includ",43213541
59,59,0,0.9436,"arg, typedef, promis, info, pass, express, access, apolloserv, ctx, new_apolloserv",43245616
