,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Original_id
0,0,0,0.6022,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",32994451
1,1,1,0.9842,"const, new, return, test, name, type, function, queri, compon, config",34509248
2,2,1,0.8397,"const, new, return, test, name, type, function, queri, compon, config",34815578
3,3,1,0.9784,"const, new, return, test, name, type, function, queri, compon, config",35108839
4,4,2,0.983,"warn, queri, cach, info, fetch, exit_code, data, start, netlifi, load",35529446
5,5,0,0.9437,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",36403536
6,6,1,0.6298,"const, new, return, test, name, type, function, queri, compon, config",36718311
7,7,0,0.9099,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",37094655
8,8,0,0.6408,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",37557111
9,9,0,0.9502,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",37818542
10,10,0,0.7567,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",38242498
11,11,0,0.8314,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",38254952
12,12,0,0.8057,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",38642562
13,13,0,0.9009,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",38989804
14,14,0,0.5136,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",39137302
15,15,1,0.9867,"const, new, return, test, name, type, function, queri, compon, config",39158809
16,16,0,0.766,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",39271864
17,17,2,0.9541,"warn, queri, cach, info, fetch, exit_code, data, start, netlifi, load",39311608
18,18,1,0.8916,"const, new, return, test, name, type, function, queri, compon, config",39528933
19,19,0,0.5412,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",39737661
20,20,0,0.7594,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",39944935
21,21,2,0.8615,"warn, queri, cach, info, fetch, exit_code, data, start, netlifi, load",40032298
22,22,2,0.6931,"warn, queri, cach, info, fetch, exit_code, data, start, netlifi, load",40213626
23,23,0,0.6514,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",40552072
24,24,0,0.5121,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",41081173
25,25,2,0.5054,"warn, queri, cach, info, fetch, exit_code, data, start, netlifi, load",41103597
26,26,0,0.8233,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",41415036
27,27,1,0.5801,"const, new, return, test, name, type, function, queri, compon, config",41494100
28,28,1,0.8484,"const, new, return, test, name, type, function, queri, compon, config",41902647
29,29,0,0.5564,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",41919868
30,30,1,0.9507,"const, new, return, test, name, type, function, queri, compon, config",41937526
31,31,0,0.8987,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",41937922
32,32,0,0.826,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",42195866
33,33,1,0.6251,"const, new, return, test, name, type, function, queri, compon, config",42208820
34,34,1,0.9892,"const, new, return, test, name, type, function, queri, compon, config",42266679
35,35,1,0.9746,"const, new, return, test, name, type, function, queri, compon, config",42316959
36,36,0,0.9375,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",42545259
37,37,0,0.8933,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",42781043
38,38,0,0.3686,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",43021991
39,39,0,0.9707,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",43096820
40,40,0,0.814,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",43304986
41,41,0,0.7265,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",43798780
42,42,1,0.9797,"const, new, return, test, name, type, function, queri, compon, config",43818401
43,43,1,0.978,"const, new, return, test, name, type, function, queri, compon, config",43860781
44,44,0,0.4905,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",44065748
45,45,1,0.9791,"const, new, return, test, name, type, function, queri, compon, config",44092376
46,46,1,0.9617,"const, new, return, test, name, type, function, queri, compon, config",44242515
47,47,0,0.9747,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",44424634
48,48,0,0.7934,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",44592518
49,49,0,0.5965,"packag, start, plugin, react, deploy, script, resolv, name, updat, site",44866600
